,phonemes,overlap / correlation
590,"['ɔ', 'š']",0.07
591,"['ɔ', 'ž']",0.07
592,"['ɔ', 'k']",0.21
593,"['ɔ', 'g']",0.21
594,"['ɔ', 'x']",0.21
595,"['ɔ', 'ŋ']",0.21
596,"['ɔ', 'h']",0.36
597,"['ɔ', 'kʷ']",0.29
598,"['ɔ', 'gʷ']",0.29
599,"['ɔ', 'xʷ']",0.29
600,"['y', 'w']",0.79
601,"['y', 'ɛ']",0.86
602,"['y', 'r']",0.21
603,"['y', 'l']",0.14
604,"['y', 'p']",0.29
605,"['y', 'b']",0.29
606,"['y', 'f']",0.29
607,"['y', 'v']",0.29
608,"['y', 'm']",0.29
609,"['y', 't']",0.21
610,"['y', 'd']",0.21
611,"['y', 'θ']",0.21
612,"['y', 'ð']",0.21
613,"['y', 'n']",0.21
614,"['y', 's']",0.21
615,"['y', 'z']",0.21
616,"['y', 'c']",0.21
617,"['y', 'č']",0.36
618,"['y', 'ǰ']",0.36
619,"['y', 'š']",0.36
620,"['y', 'ž']",0.36
621,"['y', 'k']",0.43
622,"['y', 'g']",0.43
623,"['y', 'x']",0.43
624,"['y', 'ŋ']",0.36
625,"['y', 'h']",0.36
626,"['y', 'kʷ']",0.36
627,"['y', 'gʷ']",0.36
628,"['y', 'xʷ']",0.36
629,"['w', 'ɛ']",0.71
630,"['w', 'r']",0.14
631,"['w', 'l']",0.07
632,"['w', 'p']",0.21
633,"['w', 'b']",0.21
634,"['w', 'f']",0.21
635,"['w', 'v']",0.21
636,"['w', 'm']",0.21
637,"['w', 't']",0.14
638,"['w', 'd']",0.14
639,"['w', 'θ']",0.14
640,"['w', 'ð']",0.14
641,"['w', 'n']",0.14
642,"['w', 's']",0.14
643,"['w', 'z']",0.14
644,"['w', 'c']",0.14
645,"['w', 'č']",0.29
646,"['w', 'ǰ']",0.29
647,"['w', 'š']",0.29
648,"['w', 'ž']",0.29
649,"['w', 'k']",0.43
650,"['w', 'g']",0.43
651,"['w', 'x']",0.43
652,"['w', 'ŋ']",0.43
653,"['w', 'h']",0.29
654,"['w', 'kʷ']",0.5
655,"['w', 'gʷ']",0.5
656,"['w', 'xʷ']",0.5
657,"['ɛ', 'r']",0.29
658,"['ɛ', 'l']",0.21
659,"['ɛ', 'p']",0.36
660,"['ɛ', 'b']",0.36
661,"['ɛ', 'f']",0.36
662,"['ɛ', 'v']",0.36
663,"['ɛ', 'm']",0.36
664,"['ɛ', 't']",0.29
665,"['ɛ', 'd']",0.29
666,"['ɛ', 'θ']",0.29
667,"['ɛ', 'ð']",0.29
668,"['ɛ', 'n']",0.29
669,"['ɛ', 's']",0.29
670,"['ɛ', 'z']",0.29
671,"['ɛ', 'c']",0.29
672,"['ɛ', 'č']",0.29
673,"['ɛ', 'ǰ']",0.29
674,"['ɛ', 'š']",0.29
675,"['ɛ', 'ž']",0.29
676,"['ɛ', 'k']",0.36
677,"['ɛ', 'g']",0.36
678,"['ɛ', 'x']",0.36
679,"['ɛ', 'ŋ']",0.29
680,"['ɛ', 'h']",0.43
681,"['ɛ', 'kʷ']",0.29
682,"['ɛ', 'gʷ']",0.29
683,"['ɛ', 'xʷ']",0.29
684,"['r', 'l']",0.86
685,"['r', 'p']",0.57
686,"['r', 'b']",0.64
687,"['r', 'f']",0.57
688,"['r', 'v']",0.64
689,"['r', 'm']",0.57
690,"['r', 't']",0.64
691,"['r', 'd']",0.71
692,"['r', 'θ']",0.71
693,"['r', 'ð']",0.79
694,"['r', 'n']",0.64
695,"['r', 's']",0.64
696,"['r', 'z']",0.71
697,"['r', 'c']",0.57
698,"['r', 'č']",0.57
699,"['r', 'ǰ']",0.64
700,"['r', 'š']",0.64
701,"['r', 'ž']",0.71
702,"['r', 'k']",0.43
703,"['r', 'g']",0.5
704,"['r', 'x']",0.5
705,"['r', 'ŋ']",0.5
706,"['r', 'h']",0.57
707,"['r', 'kʷ']",0.43
708,"['r', 'gʷ']",0.5
709,"['r', 'xʷ']",0.5
710,"['l', 'p']",0.64
711,"['l', 'b']",0.71
712,"['l', 'f']",0.64
713,"['l', 'v']",0.71
714,"['l', 'm']",0.64
715,"['l', 't']",0.71
716,"['l', 'd']",0.79
717,"['l', 'θ']",0.79
718,"['l', 'ð']",0.86
719,"['l', 'n']",0.71
720,"['l', 's']",0.71
721,"['l', 'z']",0.79
722,"['l', 'c']",0.64
723,"['l', 'č']",0.5
724,"['l', 'ǰ']",0.57
725,"['l', 'š']",0.57
726,"['l', 'ž']",0.64
727,"['l', 'k']",0.36
728,"['l', 'g']",0.43
729,"['l', 'x']",0.43
730,"['l', 'ŋ']",0.43
731,"['l', 'h']",0.5
732,"['l', 'kʷ']",0.36
733,"['l', 'gʷ']",0.43
734,"['l', 'xʷ']",0.43
735,"['p', 'b']",0.86
736,"['p', 'f']",0.79
737,"['p', 'v']",0.71
738,"['p', 'm']",0.79
739,"['p', 't']",0.86
740,"['p', 'd']",0.79
741,"['p', 'θ']",0.79
742,"['p', 'ð']",0.71
743,"['p', 'n']",0.71
744,"['p', 's']",0.71
745,"['p', 'z']",0.64
746,"['p', 'c']",0.79
747,"['p', 'č']",0.64
748,"['p', 'ǰ']",0.57
749,"['p', 'š']",0.57
750,"['p', 'ž']",0.5
751,"['p', 'k']",0.64
752,"['p', 'g']",0.57
753,"['p', 'x']",0.57
754,"['p', 'ŋ']",0.57
755,"['p', 'h']",0.64
756,"['p', 'kʷ']",0.64
757,"['p', 'gʷ']",0.57
758,"['p', 'xʷ']",0.57
759,"['b', 'f']",0.71
760,"['b', 'v']",0.79
761,"['b', 'm']",0.86
762,"['b', 't']",0.79
763,"['b', 'd']",0.86
764,"['b', 'θ']",0.71
765,"['b', 'ð']",0.79
766,"['b', 'n']",0.79
767,"['b', 's']",0.64
768,"['b', 'z']",0.71
769,"['b', 'c']",0.71
770,"['b', 'č']",0.57
771,"['b', 'ǰ']",0.64
772,"['b', 'š']",0.5
773,"['b', 'ž']",0.57
774,"['b', 'k']",0.57
775,"['b', 'g']",0.64
776,"['b', 'x']",0.5
777,"['b', 'ŋ']",0.64
778,"['b', 'h']",0.57
779,"['b', 'kʷ']",0.57
780,"['b', 'gʷ']",0.64
781,"['b', 'xʷ']",0.5
782,"['f', 'v']",0.86
783,"['f', 'm']",0.64
